query,expected_course,found_course,found_question,found_answer,success,score
What's the scheduled start date for the course?,data-engineering-zoomcamp,data-engineering-zoomcamp,Can I still join the course after the start date?,"Yes, even if you don't register, you're still eligible to submit the homeworks.
Be aware, however, that there will be deadlines for turning in the final projects. So don't leave everything for the las",False,334.14804
When does the course begin and what's the plan?,data-engineering-zoomcamp,data-engineering-zoomcamp,When will the course start?,"The purpose of this document is to capture frequently asked technical questions
The exact day and hour of the course will be 15th Jan 2024 at 17h00. The course will start with the first  “Office Hours",True,223.9405
Can you tell me when the course is set to start?,data-engineering-zoomcamp,data-engineering-zoomcamp,When will the course start?,"The purpose of this document is to capture frequently asked technical questions
The exact day and hour of the course will be 15th Jan 2024 at 17h00. The course will start with the first  “Office Hours",True,298.92612
What do I need to know before taking this course?,data-engineering-zoomcamp,data-engineering-zoomcamp,What can I do before the course starts?,"You can start by installing and setting up all the dependencies and requirements:
Google cloud account
Google Cloud SDK
Python 3 (installed with Anaconda)
Terraform
Git
Look over the prerequisites and",False,357.21417
Are there any specific requirements to enroll in this class?,data-engineering-zoomcamp,data-engineering-zoomcamp,What are the prerequisites for this course?,GitHub - DataTalksClub data-engineering-zoomcamp#prerequisites,True,157.2207
What background knowledge is necessary for this course?,data-engineering-zoomcamp,data-engineering-zoomcamp,What are the prerequisites for this course?,GitHub - DataTalksClub data-engineering-zoomcamp#prerequisites,True,279.43198
Is it possible to enroll in the course after the initial start date?,data-engineering-zoomcamp,data-engineering-zoomcamp,Can I still join the course after the start date?,"Yes, even if you don't register, you're still eligible to submit the homeworks.
Be aware, however, that there will be deadlines for turning in the final projects. So don't leave everything for the las",True,400.6081
Can I still sign up for the course even though it's already begun?,data-engineering-zoomcamp,data-engineering-zoomcamp,Can I still join the course after the start date?,"Yes, even if you don't register, you're still eligible to submit the homeworks.
Be aware, however, that there will be deadlines for turning in the final projects. So don't leave everything for the las",True,308.8561
"Are late registrations accepted for the course, or is it too late?",data-engineering-zoomcamp,data-engineering-zoomcamp,Are late submissions of homework allowed?,"No, late submissions are not allowed. But if the form is still not closed and it’s after the due date, you can still submit the homework. confirm your submission by the date-timestamp on the Course pa",False,361.68115
I signed up for the Data Engineering Bootcamp - when's the confirmation email?,data-engineering-zoomcamp,data-engineering-zoomcamp,I have registered for the Data Engineering Bootcamp. When can I expect to receive the confirmation email?,You don't need it. You're accepted. You can also just start learning and submitting homework without registering. It is not checked against any registered list. Registration is just to gauge interest ,True,550.67163
Can I get a confirmation email for the Data Engineering Bootcamp registration?,data-engineering-zoomcamp,data-engineering-zoomcamp,I have registered for the Data Engineering Bootcamp. When can I expect to receive the confirmation email?,You don't need it. You're accepted. You can also just start learning and submitting homework without registering. It is not checked against any registered list. Registration is just to gauge interest ,True,568.51294
When will I get the confirmation email after enrolling in the bootcamp?,data-engineering-zoomcamp,data-engineering-zoomcamp,I have registered for the Data Engineering Bootcamp. When can I expect to receive the confirmation email?,You don't need it. You're accepted. You can also just start learning and submitting homework without registering. It is not checked against any registered list. Registration is just to gauge interest ,True,431.426
What are the pre-course steps I need to take?,data-engineering-zoomcamp,data-engineering-zoomcamp,What are the prerequisites for this course?,GitHub - DataTalksClub data-engineering-zoomcamp#prerequisites,False,255.78311
Is there anything I should do before the course begins?,data-engineering-zoomcamp,data-engineering-zoomcamp,What can I do before the course starts?,"You can start by installing and setting up all the dependencies and requirements:
Google cloud account
Google Cloud SDK
Python 3 (installed with Anaconda)
Terraform
Git
Look over the prerequisites and",True,322.1486
What preparations should I make before the course starts?,data-engineering-zoomcamp,data-engineering-zoomcamp,What can I do before the course starts?,"You can start by installing and setting up all the dependencies and requirements:
Google cloud account
Google Cloud SDK
Python 3 (installed with Anaconda)
Terraform
Git
Look over the prerequisites and",True,464.57788
